Title,Image,Nickname,Label,Keywords,Keywords1,Keywords2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Label10,accessibilityratingcaption,View,View11,Text,Text1,Text2,Text3,Text4
Perfect Palm Springs dress!,https://r-ap.rtrcdn.com/reviewimages/ffb/1640218-largeThumb.jpg,Shivani ,TOP CONTRIBUTOR,Size worn: XSR,Overall fit: True to Size,Rented for: Vacation,2,"5' 5""",32,Bust size: ,34A,Body type: ,STRAIGHT & NARROW,120LBS,(5 out of 5 stars),"JANUARY 12, 2022","Rented this for my bachelorette party in Palm Springs! It was fun to wear, colorful, and comfortable! ",Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Comfy pop of color is good for many occasions,https://r-ap.rtrcdn.com/reviewimages/8bf/1622716-largeThumb.jpg,Rebecca,TOP CONTRIBUTOR,Size worn: LR,Overall fit: True to Size,Rented for: Party,12,"5' 10""",39,Bust size: ,38B,Body type: ,HOURGLASS,184LBS,(5 out of 5 stars),"NOVEMBER 28, 2021","Loved the neckline, room in the hips, fitted bodice, sleeves, and POCKETS. Worked well for my shape and height. I sometimes have trouble with dresses being too tight in my rear and this one had just enough room without looking baggy. Wore this to a festival, party, and even a casual bbq night on a yacht. Lots of compliments!",Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
So comfortable ,https://r-ap.rtrcdn.com/reviewimages/9f2/1604769-largeThumb.jpg,Lauren,TOP CONTRIBUTOR,Size worn: SR,Overall fit: True to Size,Rented for: Other,6,"6' 4""",33,Bust size: ,32D,Body type: ,STRAIGHT & NARROW,155LBS,(5 out of 5 stars),"OCTOBER 20, 2021","I rented this for our baby's baptism. Not only is it nursing friendly, the top portion is the perfect amount of stretchy, but it was also so comfortable. I loved the pop of color and the length. I'm really tall (over 6ft) and felt like it hit perfectly around my calf. There is a slight hint of yellow in the pattern that was unexpected but still looked great. Would recommend!! ",Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Love the color and fit- can wear off the shoulders or pull them up,https://r-ap.rtrcdn.com/reviewimages/809/1589513-largeThumb.jpg,Ashley,TOP CONTRIBUTOR,Size worn: LR,Overall fit: True to Size,"Usually wears: 8Height: 6' 0""Age: 38Body type: HourglassWeight: 155lbs",8,"6' 0""",38,Body type: ,HOURGLASS,Weight: ,155LBS,,(5 out of 5 stars),"SEPTEMBER 21, 2021",,Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
So many compliments! ,https://r-ap.rtrcdn.com/reviewimages/a0f/1587386-largeThumb.jpg,Emily,TOP CONTRIBUTOR,Size worn: LR,Overall fit: True to Size,Rented for: Party,12,"5' 8""",34,Bust size: ,36DD,Body type: ,ATHLETIC,185LBS,(5 out of 5 stars),"SEPTEMBER 16, 2021",Super comfortable and very flattering! Material is very comfortable ,Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Pretty and perfect for summer ,https://r-ap.rtrcdn.com/reviewimages/175/1552684-largeThumb.jpg,Erindog,TOP CONTRIBUTOR,Size worn: XSR,Overall fit: Large,Rented for: Party,0,"5' 2""",34,Bust size: ,32A,Body type: ,PETITE,90LBS,(4 out of 5 stars),"JUNE 25, 2021","Soo pretty! Looks better off the shoulder IMO - sleeves up gave me a slight linebacker vibe. I took off star because like everything else Tory, it runs large. I'm very small chested and the dress is heavy (in a high quality way) so it would slip down as I walked. I wore it anyway because it's so fabulous and life is short. ",Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
I got SO many compliments on this dress! Definitely an easy dress for a nursing mom to wear,,Kim,TOP CONTRIBUTOR,Size worn: LR,Overall fit: True to Size,Rented for: Other,10,"5' 9""",33,Bust size: ,36DDD/E,Body type: ,HOURGLASS,160LBS,(5 out of 5 stars),"APRIL 26, 2022",,Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Loved!!! Definitely size down.,,Jessica ,TOP CONTRIBUTOR,Size worn: XSR,Overall fit: Large,Rented for: Everyday,4,"5' 4""",29,Bust size: ,34C,Body type: ,ATHLETIC,125LBS,(5 out of 5 stars),"APRIL 26, 2022","Loved how this dress felt and looked! It was a super fun print, do note that there's a lot of dress..meaning the fabric was on the heavier side and since the bodice is smocked there is a lot of give. I would definitely size down and expect the sleeves to fall off and the dress to need some tugging up once and awhile since the fabric is heavier than it looks!",Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
N/A,,RTR Customer,TOP CONTRIBUTOR,Size worn: None,Overall fit: True to Size,Rented for: Other,8,"5' 7""",37,Bust size: ,36D,Weight: ,132LBS,,(5 out of 5 stars),"APRIL 22, 2022",N/A,Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Wanted to wear for Easter but the weather had other plans!,,Susan,TOP CONTRIBUTOR,Size worn: MR,Overall fit: True to Size,Rented for: Other,8,"5' 6""",69,Bust size: ,34DD,Body type: ,HOURGLASS,147145LBS,(4 out of 5 stars),"APRIL 20, 2022",,Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Stunning! ,,Sarah,,Size worn: XLR,Overall fit: Large,Rented for: Party,14,"5' 5""",36,Bust size: ,38C,Body type: ,APPLE,,(5 out of 5 stars),"MARCH 29, 2022","Beautiful colors, love the fit--although it runs large. ",Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Love love love!,,Morgan,TOP CONTRIBUTOR,Size worn: XSR,Overall fit: True to Size,Rented for: Vacation,0,"5' 2""",28,Bust size: ,32D,Body type: ,HOURGLASS,115LBS,(5 out of 5 stars),"MARCH 23, 2022",Wore out to dinner while we were on vacation and I felt great in it! Landed right above my ankle for all the petite ladies out there. ,Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
This is my first rental that I would consider buying. ,,Cate,,Size worn: MR,Overall fit: True to Size,Rented for: Vacation,8,"5' 6""",41,Bust size: ,36DD,Body type: ,ATHLETIC,150LBS,(5 out of 5 stars),"MARCH 14, 2022","This dress is very flattering and in excellent condition. With some of my previous orders, the dresses seemed overworn and stretched out. This dress feels brand new. The colors are beautiful, it's comfortable and it is flattering. What's not to love?",Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Love this,,Erin,TOP CONTRIBUTOR,Size worn: SR,Overall fit: True to Size,Rented for: Vacation,6,"5' 4""",31,Bust size: ,34B,Body type: ,HOURGLASS,,(4 out of 5 stars),"FEBRUARY 10, 2022",It's bulky but I loved it ,Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Perfect length (I'm 5'3) ! Perfect colors! I love this dress!,,Casie,TOP CONTRIBUTOR,Size worn: XSR,Overall fit: True to Size,Rented for: Vacation,2,"5' 3""",37,Body type: ,PETITE,Weight: ,119LBS,,(5 out of 5 stars),"DECEMBER 6, 2021",,Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Comfy,,Laura,,Size worn: MR,Overall fit: True to Size,Rented for: Everyday,10,"5' 8""",26,Body type: ,PEAR,,,,(5 out of 5 stars),"NOVEMBER 9, 2021",,Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
"Amazing dress, fits great, gorgeous pattern, fabric does not get wrinkled. Tons of compliments!",,Luisa,,Size worn: XSR,Overall fit: True to Size,Rented for: Wedding,0,"5' 2""",37,Body type: ,PEAR,Weight: ,120LBS,,(5 out of 5 stars),"OCTOBER 13, 2021",,Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Great colors and fit!,,Allison ,,Size worn: MR,Overall fit: True to Size,Rented for: Party,10,"5' 7""",40,Body type: ,HOURGLASS,,,,(5 out of 5 stars),"OCTOBER 13, 2021",,Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Comfortable and chic,,Sarah,TOP CONTRIBUTOR,Size worn: LR,Overall fit: Large,Rented for: Everyday,10,"5' 6""",32,Bust size: ,36DD,Body type: ,FULL BUST,1601LBS,(5 out of 5 stars),"OCTOBER 7, 2021",This is effortless but so cute! I have a large bust and was somewhat surprised how loose the bust feels since it's the only tight part of the dress! Went braless and loved it,Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Nice dress that fits true to size,,Melissa,,Size worn: LR,Overall fit: True to Size,Rented for: Everyday,10,"5' 7""",30,Body type: ,HOURGLASS,,,,(5 out of 5 stars),"SEPTEMBER 15, 2021",Really liked this dress which fit true to size - was a little longer than I thought it would be but it is a nice color pattern! The down side is it was one of the only items I could wear from my order (had issues with almost every other item),Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Loved the fabric and that it was good for a larger bust ,,Sara,TOP CONTRIBUTOR,Size worn: LR,Overall fit: True to Size,Rented for: Party,12,"5' 10""",39,Bust size: ,38DD,Body type: ,FULL BUST,170180LBS,(5 out of 5 stars),"SEPTEMBER 1, 2021",Wore to a summer memorial.   ,Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Beautiful Fun Dress,,Lauren,TOP CONTRIBUTOR,Size worn: XSR,Overall fit: True to Size,"Usually wears: 0Height: 5' 1""Age: 29Bust size: 32DDBody type: PetiteWeight: 105lbs",0,"5' 1""",29,Bust size: ,32DD,Body type: ,PETITE,105LBS,(5 out of 5 stars),"AUGUST 2, 2021",I loved this and received many compliments on it. You can wear it with the sleeves up or off the shoulder. The color is vibrant and was very flattering. I paired with a white clutch and it looked great.,Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Amazing dress and great for shorter ladies!,,Courtney,TOP CONTRIBUTOR,Size worn: XSR,Overall fit: True to Size,Rented for: Party,0,"5' 2""",34,Bust size: ,32C,Body type: ,HOURGLASS,107LBS,(5 out of 5 stars),"JUNE 19, 2021",This dress is beautiful and high quality. I was able to wear it with flats without it grazing the ground. ,Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Very cute for a day shopping! ,https://r-ap.rtrcdn.com/reviewimages/39d/1680587-largeThumb.jpg,Janelle,TOP CONTRIBUTOR,Size worn: LR,Overall fit: True to Size,Rented for: Everyday,10,"5' 7""",35,Body type: ,ATHLETIC,Weight: ,165LBS,,(4 out of 5 stars),"APRIL 27, 2022","Overall, I was happy with this dress. The straps were a tad loose and kept sliding every now and again, but great colors and great fit. Looked cute with a Jean jacket and some sneakers! Definitely rent for a day party or a day around town. ",Tanya Taylor,Printed Claudia Dress,$495 original retail,$68 – $78,"White striped cotton (98% Cotton, 2% Polyurethane). Empire. Sleeveless. Scoop neckline. Pockets. 48"" from shoulder to hemline. Imported."
Effortless and bump friendly,https://r-ap.rtrcdn.com/reviewimages/0f9/1676753-largeThumb.jpg,Vittoria,TOP CONTRIBUTOR,Size worn: LR,Overall fit: True to Size,Rented for: Other,10,"5' 6""",33,Bust size: ,34DD,Body type: ,HOURGLASS,165LBS,(5 out of 5 stars),"APRIL 20, 2022","I rented this for my baby shower at 33 weeks. Typically am a side 8/10 prepregnancy, hourglass shape. The large fit great and was so comfortable. I got so many compliments. Was able to wear a normal bra with it too!",Tanya Taylor,Printed Claudia Dress,$495 original retail,$68 – $78,"White striped cotton (98% Cotton, 2% Polyurethane). Empire. Sleeveless. Scoop neckline. Pockets. 48"" from shoulder to hemline. Imported."
Had to Buy it,https://r-ap.rtrcdn.com/reviewimages/9a2/1673396-largeThumb.jpg,Emily,,Size worn: LR,Overall fit: True to Size,Rented for: Vacation,14,"5' 8""",30,Bust size: ,36DD,Body type: ,HOURGLASS,,(5 out of 5 stars),"APRIL 13, 2022",This looks so much more vibrant and fun in person. Rented it for a vacation to Mexico and had to buy it. It's so comfortable to wear without a bra (shown) and my husband loved how it looked on me. Pockets are always a plus. ,Tanya Taylor,Printed Claudia Dress,$495 original retail,$68 – $78,"White striped cotton (98% Cotton, 2% Polyurethane). Empire. Sleeveless. Scoop neckline. Pockets. 48"" from shoulder to hemline. Imported."
So comfy and flattering,https://r-ap.rtrcdn.com/reviewimages/b50/1646111-largeThumb.jpg,Erin,TOP CONTRIBUTOR,Size worn: XSR,Overall fit: True to Size,Rented for: Vacation,2,"5' 3""",32,Bust size: ,34A,Body type: ,ATHLETIC,126LBS,(5 out of 5 stars),"JANUARY 30, 2022",I think I've had my eyes on this for years. Finally rented it and wore it out to dinner in Miami. Super flattering and comfortable. It has pockets so I was obviously obsessed.,Tanya Taylor,Printed Claudia Dress,$495 original retail,$68 – $78,"White striped cotton (98% Cotton, 2% Polyurethane). Empire. Sleeveless. Scoop neckline. Pockets. 48"" from shoulder to hemline. Imported."
Breezy dress for vacation!,https://r-ap.rtrcdn.com/reviewimages/28a/1606931-largeThumb.jpg,Meredith,TOP CONTRIBUTOR,Size worn: LR,Overall fit: True to Size,Rented for: Vacation,12,"5' 8""",29,Bust size: ,36B,Body type: ,HOURGLASS,,(4 out of 5 stars),"OCTOBER 25, 2021","This was a great vacation dress! It was perfect for warmer weather, especially with the fun colors. The top is a stretchy bandage type material, but didn't require a bra which is always a plus!",Tanya Taylor,Printed Claudia Dress,$495 original retail,$68 – $78,"White striped cotton (98% Cotton, 2% Polyurethane). Empire. Sleeveless. Scoop neckline. Pockets. 48"" from shoulder to hemline. Imported."
So beautiful ,https://r-ap.rtrcdn.com/reviewimages/f7b/1606597-largeThumb.jpg,Brittani,TOP CONTRIBUTOR,Size worn: SR,Overall fit: True to Size,"Usually wears: 6Height: 5' 7""Age: 30Bust size: 34CBody type: Athletic",6,"5' 7""",30,Bust size: ,34C,Body type: ,ATHLETIC,,(5 out of 5 stars),"OCTOBER 25, 2021",Loved everything about this dress and will def rent again! ,Tanya Taylor,Printed Claudia Dress,$495 original retail,$68 – $78,"White striped cotton (98% Cotton, 2% Polyurethane). Empire. Sleeveless. Scoop neckline. Pockets. 48"" from shoulder to hemline. Imported."
Baby Shower Rental,https://r-ap.rtrcdn.com/reviewimages/37d/1593427-largeThumb.jpg,Katie,,Size worn: LR,Overall fit: True to Size,Rented for: Party,8,"5' 4""",37,Body type: ,HOURGLASS,,,,(5 out of 5 stars),"SEPTEMBER 28, 2021",I rented this for my sister's baby shower and I am pregnant as well (26 weeks). I wore the large but probably could have worn the medium. I absolutely loved this dress and think I will probably rent it again for my cousin's wedding in the spring - it definitely hides things you don't want to show off.,Tanya Taylor,Printed Claudia Dress,$495 original retail,$68 – $78,"White striped cotton (98% Cotton, 2% Polyurethane). Empire. Sleeveless. Scoop neckline. Pockets. 48"" from shoulder to hemline. Imported."
My favorite dress ,https://r-ap.rtrcdn.com/reviewimages/7a1/1574589-largeThumb.jpg,Georgia,TOP CONTRIBUTOR,Size worn: LR,Overall fit: True to Size,Rented for: Everyday,10,"5' 10""",38,Bust size: ,36DDD/E,Body type: ,FULL BUST,155LBS,(5 out of 5 stars),"AUGUST 17, 2021",I knew this would be gorgeous but the fit is beyond flattering. So many compliments. I was between sizes and should have gotten a M instead of a L but it still worked. Want to purchase!! ,Tanya Taylor,Printed Claudia Dress,$495 original retail,$68 – $78,"White striped cotton (98% Cotton, 2% Polyurethane). Empire. Sleeveless. Scoop neckline. Pockets. 48"" from shoulder to hemline. Imported."
Great maxi dress ,https://r-ap.rtrcdn.com/reviewimages/75d/1572498-largeThumb.jpg,Anne,TOP CONTRIBUTOR,Size worn: XSR,Overall fit: True to Size,Rented for: Everyday,0,"5' 2""",31,Bust size: ,34B,Body type: ,PETITE,111LBS,(5 out of 5 stars),"AUGUST 12, 2021","The top of this dress is what makes it. Fifties, flattering and you can definitely get away with no bra. For petites it's definitely a maxi dress but fit was as expected. ",Tanya Taylor,Printed Claudia Dress,$495 original retail,$68 – $78,"White striped cotton (98% Cotton, 2% Polyurethane). Empire. Sleeveless. Scoop neckline. Pockets. 48"" from shoulder to hemline. Imported."
Love!,https://r-ap.rtrcdn.com/reviewimages/132/1567037-largeThumb.jpg,RTR Customer,TOP CONTRIBUTOR,Size worn: SR,Overall fit: True to Size,Rented for: Vacation,4,"5' 10""",28,Body type: ,ATHLETIC,,,,(5 out of 5 stars),"JULY 30, 2021",amazing dress!! so flattering ,Tanya Taylor,Printed Claudia Dress,$495 original retail,$68 – $78,"White striped cotton (98% Cotton, 2% Polyurethane). Empire. Sleeveless. Scoop neckline. Pockets. 48"" from shoulder to hemline. Imported."
So cute and summery,https://r-ap.rtrcdn.com/reviewimages/9a0/1565258-largeThumb.jpg,Kate,TOP CONTRIBUTOR,Size worn: SR,Overall fit: True to Size,Rented for: Everyday,6,"5' 9""",40,Bust size: ,32C,Body type: ,ATHLETIC,145LBS,(5 out of 5 stars),"JULY 26, 2021","Comfortable, colorful, cute. Fit well, almost bra-like support around the chest. Love the pockets. Needed to steam the under layer because it bunched up a lot, but otherwise perfect",Tanya Taylor,Printed Claudia Dress,$495 original retail,$68 – $78,"White striped cotton (98% Cotton, 2% Polyurethane). Empire. Sleeveless. Scoop neckline. Pockets. 48"" from shoulder to hemline. Imported."
The perfect dress for a casual summer soirée!,https://r-ap.rtrcdn.com/reviewimages/78b/1564386-largeThumb.jpg,Meghan,TOP CONTRIBUTOR,Size worn: MR,Overall fit: True to Size,Rented for: Party,8,"5' 7""",38,Body type: ,ATHLETIC,,,,(5 out of 5 stars),"JULY 24, 2021","Fits as described/true to size. Comfortable and flattering, light weight skirt, top keeps girls in. Can wear with our without a regular bra (straps will be hidden). This is a no brainer!",Tanya Taylor,Printed Claudia Dress,$495 original retail,$68 – $78,"White striped cotton (98% Cotton, 2% Polyurethane). Empire. Sleeveless. Scoop neckline. Pockets. 48"" from shoulder to hemline. Imported."
Wore for my baby shower. Fit perfectly. ,https://r-ap.rtrcdn.com/reviewimages/182/1563284-largeThumb.jpg,Hailey,,Size worn: SR,Overall fit: True to Size,Rented for: Party,8,"5' 4""",34,Bust size: ,34F,Body type: ,HOURGLASS,135LBS,(5 out of 5 stars),"JULY 21, 2021",,Tanya Taylor,Printed Claudia Dress,$495 original retail,$68 – $78,"White striped cotton (98% Cotton, 2% Polyurethane). Empire. Sleeveless. Scoop neckline. Pockets. 48"" from shoulder to hemline. Imported."
